,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
"AneuPing",,,,,,,,,2,,,2,,,2,,2,,2,,,,,,2,,2,,,,,2,,,,,,2,,,,2,,,,,,,,,3,2,,,,,2,,2,,,,,2,,,,,,2
"AtriUndu",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AulaPalu",,7,,,,,,,,,,,,,,2,,,2,,5,,,6,3,2,,3,,,2,5,,,,2,,3,,,,6,,,2,,2,,,,,,,,5,6,,7,,,,5,2,6,,,,2,,
"BrachRiv",,,,,,3,2,,,,2,3,2,3,7,,,,,,,,,,6,,2,,,,,,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,2,,,,,,,2,,5,
"BryumPse",6,3,3,3,7,6,2,3,3,,5,3,6,,,,3,3,,3,6,6,6,7,2,,5,,7,,,3,,,,,3,5,2,3,,3,,,,,,,,,6,5,6,7,,3,5,3,3,3,5,6,6,,6,7,2,2,,5
"CallCord",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,1,,
"CallCusp",7,3,3,3,7,7,7,5,7,8,7,7,7,5,5,,3,3,,5,,3,3,3,5,,3,,5,,,6,3,7,,,7,3,,7,2,7,,,,,,9,,,3,3,6,6,,2,3,3,7,3,5,5,3,6,6,2,3,,,6
"CallGiga",,,,,,,,,,,,,,,,,,,,,,3,,5,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,
"CallStra",,,,,,,,,,,,,,,,,,,2,,,,,,,3,,5,,,3,,3,2,5,2,,,,,,5,3,2,2,2,2,,,,,,,,3,,,,,,,,,6,,,,,,
"CampStel",,3,3,7,5,5,,5,3,2,5,3,5,,,,3,6,,,7,7,6,,2,,8,,5,,,2,,2,,,6,3,3,2,,3,,,,,,,,,3,7,2,2,1,,7,2,7,7,7,3,6,,5,,5,,,
"ChiloPoly",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CirrPili",,,,,,,,,,,2,,,,,,,,,,,,,2,3,,,,,,,2,,,,,2,2,,,2,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,2
"ClimDend",3,3,,,2,,2,,3,,,3,,,,2,,,,3,3,3,6,5,3,,,,6,,,2,,2,,,,5,6,3,2,6,,,,,,,,,,,,2,,7,,5,,,2,5,3,,,,,,5,5
"CratoCom",6,,7,5,7,6,2,8,6,,5,6,3,,7,,5,7,,,,2,1,1,,,6,,,,,,,,,,3,2,3,,,,,,,,,5,,,6,7,8,3,,,5,,5,6,6,,,,7,6,2,,,3
"CratoFil",,,,3,,5,,,,6,2,3,,5,3,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,2,,3,,,,2,,2,,,,2,,2,6,,,,
"DicrBonj",,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,
"DrepAdun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DrepExan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"DrepRevo",,6,7,7,,,,,,,3,,,,,,5,,,,6,7,7,7,,,,,3,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,6,7,,,,,,,
"EuclVert",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EurhHian",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,
"FissAdia",3,,,2,,,,3,2,,,,,,,,2,3,,,,,,,,,3,,,,,2,,,,,5,,5,2,,,,,,,,,,,2,3,,,,,6,,5,3,,,,,2,,,,,3
"HomaNite",,,,,,,,,5,2,3,,,,,,8,6,,,,,,,5,,,,,,,7,,,,,,,,,,3,,,,,,,,,8,,,8,,6,,6,,,,,,,,,,,,
"HyloSple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"HypnPrat",,2,,,,,,,,,,,,,,,,,,5,3,,,5,3,,,2,,,2,3,,,,,,8,,3,3,,,,,,,,,,,,,,,3,,3,,,,5,,,,,,,,
"LophBide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"MarchPol",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pell_sp.",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PellEndi",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
"PellEpip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PhilCalc",,,2,,,2,,,2,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,3,2,3,,2,,,,,,,
"PhilFont",,2,,,,,,,,,,,,,,,,,,,,6,,3,3,,,,2,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,6,,,,,,,,
"Plag_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"PlagElat",5,,,1,3,5,7,,7,3,3,5,3,,2,,2,,,3,,2,2,5,3,,3,2,6,,,6,,,,,6,5,7,6,3,2,,,,,,2,,,6,3,,5,,3,2,2,2,2,3,3,5,,5,3,6,,7,6
"PlagUndu",,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3
"PolyComm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,2,,2,,,,,,,8,7,2,2,7,,2,2,,,,,5,,,,,,,,,,,,,3,,
"PolyStri",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RhytSqua",2,2,,,,,,,2,,,,,,,,,,,3,,,,,7,,,2,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,,,,,2,2,,,,3,6,5
"RhytTriq",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"RiccMult",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SclePuru",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,5
"SphgCapi",,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,2,,,,,,,5,,3,3,8,,,3,3,,,,,,,,,,,,,,,,,,3,,
"SphgCont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SphgFall",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,7,7,8,6,3,,2,2,,,,,,,,,,,,,,,,,,,,
"SphgFlex",,,,,,,,,,,,,,,,,,,9,,,,,,,9,,,,9,,1,7,2,9,7,,,,,,2,,2,7,,8,,,,,,,,6,,,,,,,,,3,,,,3,,
"SphgMage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,
"SphgPalu",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,2,3,,,,,,3,2,5,3,6,2,,8,9,,,,,,,,,,,,,,,,,,8,,
"SphgPapi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,
"SphgSubs",,,,,,,,,,,,,,,,9,,,,,,,,,,,,6,,,9,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
"SphgWarn",,3,,,,,,,,,,,,,,,,,,5,,,,,,,,6,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ThuiPhil",2,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"ThuiReco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"AbieAlba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
"Acer_sp.",1,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,2,,,,,,1,1,,,,,2,,,,,,,,,,2,2,
"AchiMill",,2,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,2,,,,,1,,,,,,
"AegoPoda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AgroCani",,2,,,,,,,2,,,,,,,6,,,6,5,2,1,,2,6,5,,,,3,,2,3,2,3,5,,,,,2,2,5,2,3,3,5,,3,3,,,,,2,,,,,,,2,,5,,,2,5,,
"AgroCapi",,2,,,,,1,,,,,,,,,3,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,1,,,1,,,,,,,,,,,,
"AgroStol",,,,2,2,2,,,2,3,3,,,,2,,,,,,2,,,,,,2,,,,,,,,,,2,,,3,,,,,,,,,,,,,2,2,,2,,,2,2,2,,1,,2,3,,,,2
"AjugRept",,,,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,,,,,,,2,,,,,3,2,,,,3,,,3,,,,,,2,,,2
"AlchCrin",,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,6,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,
"AlchGlab",,,,,,,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,3,,2,,,,,2,,,,,,,
"AlchMica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,
"AlchMont",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlchVulg",,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,
"AlchXant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlnuGlut",,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,
"AlnuInca",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,
"AlopPrat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AnemNemo",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,3,,
"AngeSylv",,,,,,2,,,,,,,,2,2,,,,,,,2,,,,,,,2,,,,,,,1,,1,,,,,,,,,,2,,,,,2,2,1,,,,,,,,,3,,5,,,2,
"AnthOdor",2,,,,2,,3,,,,,,,2,,5,,,3,3,,,,2,1,1,,5,3,5,,2,5,2,5,3,,,2,2,2,5,3,2,3,,3,,,2,,,,1,2,5,,2,,2,,2,2,3,,2,,3,3,2
"AnthSylv",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AquiVulg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"ArrhElat",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,
"AvenPube",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"Betu_sp.",,,,,,,,1,,,2,,,,,,1,,,,,,,,,1,,,,1,,2,2,,,1,,,,,,,,,,1,,,,,,,1,,,,,,2,,,,1,,,,,1,,
"BlysComp",,,5,,,1,,,,,,,,,,,,3,,,,2,,,,,,,,,,2,,,,,,,2,,,,,,,,,3,,,,,,,,,,2,,2,2,,2,,,,,,,
"BrachPin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3
"BrizMedi",3,3,2,2,,,3,,2,2,2,,,,,2,2,,3,,3,2,2,2,3,2,,3,2,,,2,,,2,2,3,,3,2,,2,,,,,,5,,,2,2,2,2,,2,2,2,3,5,3,5,3,2,5,2,,3,5,3
"BromErec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,2,,1,1,,,,,,,,,,,,,
"CalaEpig",2,,,,,,2,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
"CalaVill",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CaltPalu",3,,,,3,3,2,,,,3,2,,7,6,,2,,,2,,5,,5,2,,,2,,,,,,,2,,,2,,,,2,,,,,,2,,,,,,,,2,,2,,,,1,,,,5,,,,3
"CampGlom",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CampPatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"CardAmar",,,,,,,,,,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,
"CardPrat",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
"CarpBetu",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
"CarxAcut",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CarxCane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
"CarxDava",,,6,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"CarxDemi",2,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,5,,2,6,2,3,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,3,,,,,,
"CarxDian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"CarxDist",,,3,2,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,2,,,,,,,,,
"CarxEchi",2,3,,,,,,,5,,,,,,,7,2,,6,3,,2,5,5,5,3,1,6,2,,5,,3,5,3,,,2,5,2,2,6,5,2,6,3,2,,,,,,,2,3,2,,2,,,,,3,5,,,3,5,6,
"CarxFlac",2,,3,3,3,3,2,7,2,3,3,,5,,,,,2,,,,,,,,,3,,,,,,,,,,7,2,2,,,,,,,,,3,,,3,6,3,,,,7,,6,3,2,,,,5,3,,,,5
"CarxFlav",3,6,,3,5,3,7,,2,7,3,,5,,,,,2,,2,,,3,2,,,,,,,,3,,,,,,,3,5,3,3,,,,,,5,,,2,2,2,,,3,,2,2,5,2,,2,2,5,2,3,,2,2
"CarxHirt",2,,,2,2,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,
"CarxLepi",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
"CarxLepo",,,,,,,,,,,,,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CarxNigr",3,6,2,,,,,,7,,,,5,,2,5,7,2,6,7,2,3,6,6,7,5,2,6,5,6,6,6,6,3,5,5,2,7,3,3,2,6,5,5,5,6,5,2,5,5,,,2,3,3,5,5,5,,5,6,2,3,5,,7,2,,6,7
"CarxPall",,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,
"CarxPani",6,3,7,3,5,5,3,6,6,2,3,,6,5,5,3,6,2,2,5,3,2,6,,6,3,5,3,3,,5,5,6,6,3,6,6,6,7,7,7,6,2,1,,2,2,6,2,3,3,5,6,6,3,5,5,5,5,5,5,6,6,6,2,5,7,3,5,5
"CarxPncl",,,6,5,,8,,,,2,3,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,,,,,,3,7,,,,2,7,,,,
"CarxRost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,,,,,,,6,,,,,,2,,
"CarxSylv",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"CarxTome",,,,,,,7,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,2,1,,,,,,,,,
"CentJace",,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,1,,,,,,,,,2,2,,3,5,,,,,,,,,
"CeraHolo",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"ChaeHirs",,,,,,,,,,,,,,,,,,,,3,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CharaVulg",,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"CirsCanu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,
"CirsOler",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
"CirsPalu",,,,,,2,1,,2,2,1,,,,,1,2,1,,2,3,2,2,,,2,,,2,,,2,3,2,2,2,,,,,2,3,,,1,,,2,,2,,,,,5,,,1,3,,,2,2,5,2,,,3,,
"CirsRivu",3,2,1,1,3,5,3,2,3,1,,2,5,7,5,,1,,,,5,2,6,5,5,,1,2,,,,2,,,,,2,3,6,3,3,,,,,,,7,,,2,,3,6,,7,5,3,2,3,6,2,3,2,,3,5,,6,5
"ColchAut",2,,,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,
"CornSang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Crat_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"CrepPalu",2,,2,,,,3,,2,1,,,,2,,,,,2,2,,3,2,3,2,,2,3,,3,,2,2,2,3,,,5,,2,1,2,,1,2,,,,,,3,,,,2,2,,2,2,,,2,2,2,,2,3,2,,
"CrucGlab",2,6,,,2,2,,,,2,,,3,,1,,,,,,1,,2,,,,,,2,,,,,,,,2,3,2,2,2,,,,,,,2,,,,,,2,,3,,3,,,2,,2,,,,2,,3,
"CynoCris",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DactFuch",,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DactGlom",,,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,
"DactInca",,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,
"DactMaja",2,,2,,3,2,1,,,2,2,,,,2,,2,1,3,,2,2,3,2,2,2,2,2,2,2,2,5,,,,2,2,2,2,2,3,2,,1,2,2,,,2,2,3,,,3,2,5,3,3,2,2,3,5,,2,,2,2,1,,
"DantDecu",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,2,,,,,2,,2,2,,,,,,,,,,
"DaucCaro",,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"DeschCes",,,,,,3,,1,,,,2,,2,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DrosRotu",,,,,,,,,,,,,,,,,,,5,,,,,,,6,,,,,3,,3,6,,5,,,,,,2,,6,3,6,,,5,3,,,,,,,,,,,,,,,,,,1,,
"EleoQUinq",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,5,,3,,,,,
"EpilObsc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"EpilPalu",,,,,,,,,,,,,,,,,,,2,,,,,2,3,,,,,,,,,1,3,2,,,,,,2,,,2,,,,,,,,,,3,,,,,,,,,2,,,,,5,1
"EpilParv",,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2
"EpipPalu",,3,2,2,5,3,,3,7,,5,,3,,,,3,3,,,3,7,,,,,6,,,,,5,,,,,,,5,,1,,,,,,,2,,,5,2,,,,,3,3,2,2,2,2,6,,2,,7,,,3
"EquiArve",,,,,2,,,3,3,,,,2,,,,2,,,2,,2,,,2,2,,,3,,,3,6,5,,,2,,2,,,2,,,,,,2,,,,,,,,,,2,2,2,2,,2,,1,,,,,2
"EquiFluv",,,,,,3,5,2,,,,,,,3,,,,,,2,6,2,2,,,2,,5,2,,,2,,6,3,2,,3,,,2,2,,,,,,,,,,,,,,2,,,,,5,,2,2,,,,,
"EquiPalu",,3,5,,3,5,7,,5,7,3,,5,8,3,,6,,,5,5,5,5,3,2,3,6,,,,5,5,,,,,,6,,7,,,,,,,2,5,,,7,3,5,1,2,3,3,2,,5,5,5,7,,,5,6,,,
"EquiSylv",,,,,,,,,,,,,,,,2,,,,,,,,,2,1,,2,,3,,,3,3,,,,,,,,,,,,2,2,,3,5,,,,,,,,,,,,,,2,,,,2,,
