,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
"EquiTelm",,,,6,,3,1,,,,,9,,,8,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,7,,,,,,,,,,
"EquiVari",,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ErioAngu",8,,,6,6,5,6,8,5,,2,,,6,2,,6,6,5,5,2,3,5,5,,5,6,3,2,2,6,2,2,2,2,7,7,2,5,,6,5,2,2,5,5,5,3,6,5,,7,6,6,5,6,6,6,7,3,2,5,3,7,6,3,6,2,6,5
"ErioLati",,7,3,3,3,2,,2,3,3,6,,2,3,,,3,2,,3,2,2,5,5,,,3,6,3,,,6,,,,,3,,6,7,,,,,,,,3,,,6,6,2,3,,3,6,5,6,7,6,3,6,,3,5,2,,5,6
"EupaCann",3,,2,1,2,2,2,2,,2,1,3,,2,,,1,,,,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,,3,,,,2,3,2,,,3,,,2,1,,,,5,,,,,
"EuphOffi",,1,,,,,,,,,,,,,,,,,,,3,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FaguSylv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,
"FestPrat",2,,,,,,2,,,2,,,3,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,1,,,,,3,,,3,2
"FestRubr",,6,,,3,3,2,,2,3,3,,2,,,3,1,,5,2,2,2,3,2,2,2,,,5,5,,5,3,2,2,3,2,5,3,5,,3,2,2,3,,2,3,,2,2,,2,2,3,2,,2,2,2,3,2,2,2,3,6,5,5,5,3
"FiliUlma",,,,,,,5,1,,,,2,,,,,1,,,,,,2,2,,,,2,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,1,2,,,,,,3,,,2,,,,,
"FiliVulg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"FragVesc",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FrangAlnu",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,2,,
"FraxExce",,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"GaliAlbu",2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
"GaliBore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"GaliMoll",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GaliPalu",,,,,3,3,,,,,,2,2,3,,,2,,2,2,,2,,2,2,,,,2,,,2,,,2,2,,,,,2,2,,1,2,,,,,,,,,,2,,,2,,,,2,,2,,,2,2,,
"GaliRiva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GaliUlig",,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,2,5,,,,,,
"GaliVeru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"GeraPalu",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GeumRiva",,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
"GladImbr",,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GlechHed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"GlycNota",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"GymnCono",,,2,,,,2,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,2,,,,,,,,,,,
"Hier_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"HierLaev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"HierPilo",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HierSaba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolcLana",,3,,,,,3,,,,,,2,,,2,2,,,,,,,,2,1,,,2,,,,,,,,2,,,1,,,,,,,,,,,,,,2,2,,,2,2,,2,2,2,,,3,,3,,
"HydrVulg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HypeMacu",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1
"HypeTetr",,,,2,,,1,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,
"ImpaNoli",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InulSali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JuncArti",3,6,3,5,3,3,2,3,2,2,2,,,,,2,3,2,,,,2,5,2,2,,2,2,2,,,,,2,,,3,,2,5,,,,,,,,5,,,,2,2,2,,3,2,2,5,3,2,3,2,,3,3,,,,2
"JuncBulb",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,
"JuncCong",,2,,,,,1,,,,,,,,,2,,,,,,,,,5,2,,3,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,2,
"JuncEffu",,,,,,,,,,,,,,,,,,,,3,,,,,2,2,,3,2,,,,2,2,2,,,,2,,,2,2,,,2,2,,,,,,,,,2,,,,,,,,,,,,,2,2
"JuncInfl",1,,,3,5,,,1,,3,3,,7,3,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,3,2,,,1,,2,2,2,,,,2,,,,,3
"JuniComm",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"LathPrat",2,,,,,3,,1,,1,2,,,,2,,1,,,,2,1,2,2,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,2,,2,,2,,,1,,,,,2,,,3,3
"LeonHisp",,3,,,,,,,2,,,,2,,,,,,2,,2,1,,,2,,,5,,,,3,,,,,,,2,,,2,,,,,,,,,,,,,,2,,5,2,2,2,2,3,,1,,,2,,
"LeucVulg",,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,2,,2,,,,,,,,,,,,,,,,,2,,3,,,2,,,,,,,,,
"LiguVulg",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"LinuCath",,2,,,2,,,2,2,2,2,,,,,,,,,,2,,2,3,2,,,,2,,,2,,,,,2,,1,2,,2,,,,,,,,,,,2,,,,,2,3,,,5,5,,1,,,,2,
"LipaLoes",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ListOvat",,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,
"LotuCorn",,2,,,,,,,,,,,2,,,2,,,,,,,,,2,,,,,,,,3,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,2,,,2,,,,
"LotuMari",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LotuPedu",,,,,,,,,,,,,,,,,,,2,6,,,,,5,2,,5,,2,,5,,,2,3,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,5,,,,2,,
"LuzuCamp",,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
"LuzuMult",,,,,,,,,,,,,,,,,,,,2,,,,,2,,,2,2,,,2,,,2,,,2,,,,,2,,,,,,1,,,,,,2,2,,,,,,,,1,,,,,,
"LychFlos",2,,,,,1,2,,,,,,,1,,,,,,,,,,1,2,,,,2,,,,,,2,,,2,,,,1,,,,,,,,,,,,2,,2,,2,,,,,,1,,2,,,2,
"LycoEuro",,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,2,,,,,,
"LysiNemo",,,,,,,,,2,,,,,,,,,,,6,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,
"LysiNumm",,,2,,2,2,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,2,,,,2,2,,,,,2,,,,2
"LysiVulg",,2,2,1,2,3,2,,,2,3,3,3,2,2,,2,2,2,2,2,3,2,3,3,2,,,3,3,3,,,,6,,2,,1,,3,1,,,,,2,3,,,2,1,2,2,,,,,,5,3,2,,,,2,,2,,
"LythSali",,,,3,2,2,1,,,5,2,2,,2,,,2,,,,,,,,1,,,,2,,,,,,,,2,,1,1,,,,,,,,,,,,,3,2,,,,,,,1,,,,2,,,,,
"MaiaBifo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
"MediLupu",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MentAqua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,3,,,,,
"MentArve",,,,2,,,1,1,,,,,3,,,,,,,3,,2,,2,5,,,,,,2,,,,1,,2,1,,,2,1,,,2,,,,,,,,,,,,,,2,,1,,,2,,,3,1,2,
"MentLong",3,,,,2,3,2,,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,2,1,,,,,1,,,,,
"MenyTrif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,,
"MoliArun",,,5,6,,,,,,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
"MyosLaxi",,,,,3,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"MyosNemo",,,,,,2,,,,,,,,2,,1,1,,,3,,,,2,5,,,,2,,,,,,2,,,,,,2,1,,,,,,,,,,,,,2,2,,2,,,,,,,,2,,,5,
"NardStri",,2,,,,,,,,,,,,,,5,,,,,,,,,2,2,,2,2,2,3,3,3,2,,2,,,,,,3,3,5,3,5,3,,5,7,,,,,,,,,,,,,,5,,,,2,,
"OdonVulg",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OphrHolo",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"OrchMori",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ParnPalu",2,,,,,2,,2,3,,,,,,,,,2,,,2,2,2,,2,,2,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,3,3,,,,,,2,,,,,
"PediPalu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PediSylv",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,3,2,,2,,,,,,5,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
"PetaHybr",2,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PhraAust",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PiceAbie",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,
"PingVulg",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PlanLanc",,6,,,,,,,,,,,,,,1,,,1,2,,,1,,5,,,2,,,2,5,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,2,2,2,,,2,,,,2,
"PoaPalu",,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PoaPrat",,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"PoaTriv",2,,,,,3,3,,,,,,2,3,3,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,2,,,,2
"PolyAmar",,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,2,,2,,,,,2,,,,,,,,,,,,
"PolyVulg",,2,,,,,,,1,,,,,,,,,,2,,,,,,,,,2,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"PopuTrem",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PoteErec",3,6,3,3,3,2,2,3,5,,3,,5,,3,3,3,3,5,7,7,5,3,3,2,5,5,3,2,5,,3,5,3,,5,2,5,2,2,3,3,2,2,3,5,5,2,3,5,6,3,,2,3,3,5,3,5,2,5,5,5,6,2,,3,5,3,5
"PoteRept",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,,,,
"PrimElat",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,,2,,,2,,,,,,,,2,
"PrunAviu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"PrunVulg",,2,,2,2,,,,5,2,,,,,,,,,,3,2,3,5,2,2,,,,5,,,3,2,1,,,2,,5,,,5,,,,,,2,,,,,,,,,,3,2,2,2,2,3,,,,2,,,
"PyroRotu",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QuerPetr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"RanuAcri",1,6,1,,2,2,1,,,2,2,,2,3,2,2,2,,2,,,2,5,6,5,,1,2,5,,,3,,,1,,,2,2,2,,2,,,,,,2,,,,,2,2,2,3,,3,2,5,3,3,2,2,,3,,,3,
"RanuAuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
"RanuFlam",,2,,,,,,,,,,,,,,3,,,,,,,,2,2,,,,,,2,,,,2,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
"RanuRepe",,,,,,,,,,3,,,2,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,1,,,,,,
"RhinMino",,,,,,,,,,,,,,,,,,,2,,,,2,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"Rosa_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"RubuOrth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"RumxAcet",1,,1,1,,2,,,,,,,,2,,,,,1,2,,,,,3,,,2,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,3,
"SalxAuri",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"SalxCapr",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SalxCine",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,2
"SalxFrag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
"SalxRepe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,
"SangOffi",,,2,3,5,1,3,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,5,,3,5,,,,,,,2,,,2,,,2,2,2,,,3,,,,,,,,,,,
"ScirSylv",2,,,3,5,,,,,,,3,3,,3,,2,2,,,,,3,,,,,,,,,,,,,,,2,,,2,,,,,,,6,,,2,,3,2,3,,,2,,3,2,,,,,2,,,,5
"SeliCarv",,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SeneOvat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SerrTinc",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
"SisyBerm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SphgSqua",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SphgTere",,,,,,,,,,,,,,,,,,,,8,,,,,7,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,
"StellAlsi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StellGram",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"SuccPrat",,,3,2,,,2,3,,,,,,,,,3,3,,,,,,,,,3,,,,,,,,,,5,,6,,,2,,,,,,,,,6,2,2,6,,,,,,2,,,,,5,,,,,
"SympOffi",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarx_Pal",,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,2,2,1,,,1,,,,,
"TarxSRud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"TephCris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tili_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
"TrifAlpe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"TrifMedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"TrifPrat",,,,,,,,,,2,,,1,,,,,,,2,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,5,,,,2,,,,
"TrifRepe",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrigPalu",,,3,2,,,,2,,,,,,,,,,6,,,,3,2,,,1,,,6,,,,,,,,2,,2,2,,,,,,,,,,,3,3,2,3,,,3,,2,2,2,,2,,6,,,,,
"TussFarf",,,,,,,2,2,,3,2,,5,,2,,,1,,,,1,,,,,,,2,,,,,,,,2,,,2,,,,,,,,3,,,,,5,,,,,,,,6,,,,2,,,,,
"UrtiDioi",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VaccMyrt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
"VaccViti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"ValeDioi",,,3,5,,5,,,,2,5,,,6,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,6,,,,,,5,3,,,,,3,3,,,,
"ValeOffi",,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"ValeSimp",7,,,,,2,3,2,,,,7,,,6,,5,,,,6,6,6,7,3,,2,,5,,,2,,,,,,2,,5,2,2,,,,,,,,,,,,3,,5,,,,,,6,6,,,,,,,6
"VeroBecc",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VeroCham",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"VeroOffi",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VeroScut",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VibuOpul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"ViciCrac",,2,,,,,1,,,1,,,,2,,,,,,,2,,2,,2,,,,,,,,,,,,,2,,1,,,,,,,,2,,,,,,2,,,,2,,,,,2,,,2,,,2,2
"ViciSati",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ViciSepi",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ViolPalu",,,,,,,,,,,,,,,,7,,,5,2,,,3,,3,5,,2,,2,3,,3,3,3,3,,,,,,3,2,,3,2,2,,1,2,,,,,,,,,,,,,,2,,,,2,,
"ViolRivi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
